Country,2005,2006,2007,2008,2009,2010,2011,2012
Austria,63.72177062,66.70927161,69.69677261,72.6842736,75.67177459,79.40830371,80.14872034,85.38330569
Belgium,62.53318667,68.27957448,74.02596228,79.77235008,85.51873789,92.31364265,94.91447928,103.8064183
Bulgaria,7.612389789,8.908528343,10.2046669,11.50080545,12.96336221,14.27699525,14.52212183,17.20211519
Croatia,4.10107793,20.25373955,7.545455934,7.292633199,15.62940229,30.30678959,35.60515501,34.77664741
Cyprus,28.69960024,41.56074541,54.42189059,67.28303576,80.14418093,93.83862091,104.1998816,119.5609113
Czech Republic,21.07369247,22.66342489,23.12473528,24.41605281,29.58988247,33.556452,36.36024581,40.82348997
Germany,50.01371603,50.7036557,51.39359537,52.08353504,52.77347472,53.84797253,53.38423747,55.22785187
Denmark,29.52857932,32.49060976,35.45264019,38.41467063,41.37670106,43.03151977,49.91518509,48.95558064
Spain,37.95851267,33.72467798,29.72121726,33.86800212,46.08056765,53.61449071,61.83202185,83.45094621
Estonia,0.192187164,0.245291492,0.298395821,0.351500149,0.404604477,0.519205856,0.387819032,0.625414512
France,42.69043315,49.01270719,55.33498124,61.65725528,67.97952932,76.27848351,79.48345153,88.92396435
Finland,32.09927468,34.92653079,37.7537869,40.581043,43.40829911,46.23555522,49.06281133,51.89006744
United Kingdom,46.31469017,45.80533662,46.71701051,57.38258269,71.42362131,84.19476609,97.50660706,101.9509216
Greece,37.15937095,53.6888944,70.21841784,86.74794129,103.2774647,132.4187425,111.1130028,165.4777894
Hungary,65.29249732,68.5948734,69.22755445,72.54313474,80.98148229,81.65024779,90.99908061,94.28021046
Ireland,30.77228151,27.01606584,26.95255197,46.82606805,66.97448582,83.68026006,109.9948371,130.4947733
Italy,79.62639692,85.80349251,91.9805881,98.15768369,104.3347793,114.6817294,108.3492614,127.0359206
Lithuania,23.71197689,26.89282439,30.07367188,33.25451938,36.43536687,40.63814613,40.75319834,46.99984111
Luxembourg,3.675329928,4.42019045,4.681462456,12.29401251,13.23077049,18.1877015,16.99613565,20.14661994
Latvia,19.36873324,23.40369365,27.43865405,21.68745534,41.73014371,50.43995596,42.26558501,41.59453671
Malta,193.5122307,178.2882919,170.9141298,75.84570102,81.93561388,82.94168669,82.77014357,87.13057629
Netherlands,48.2609335,42.69317744,40.21539999,52.83800845,55.12533355,58.62786455,62.42291139,68.53637215
Poland,46.83704817,46.79391442,42.47602525,44.57075181,47.43025857,50.98148174,51.57744021,55.15502839
Portugal,11.28032802,28.09694842,44.91356882,61.73018921,78.54680961,100.248368,102.4101745,133.8816088
Romania,17.40091885,20.8908456,24.38077234,27.87069909,31.36062583,34.59767353,38.84623743,41.57752702
Slovak Republic,36.43978533,32.26824609,31.18789636,29.58298,37.63044559,44.59620698,47.05895267,53.30985846
Slovenia,1.0E-8,1.0E-8,1.0E-8,1.0E-8,1.0E-8,1.0E-8,1.0E-8,1.0E-8
Sweden,43.16030448,43.02921513,42.89812578,42.76703643,42.63594708,42.28350957,42.81646469,42.02133087
