Country,2005,2006,2007,2008,2009,2010,2011,2012
Belgium,1.05,1.05,1.05,1.01,1.04,1.03,1.01,1.01
Bulgaria,0.73,0.78,0.75,0.74,0.84,0.97,1,0.96
Czech Republic,1.04,1.05,1.04,1.04,1.07,1.05,1.06,1.08
Denmark,1.11,1.07,1.05,1.06,1.09,1.12,1.11,1.1
Germany,1.14,1.14,1.17,1.15,1.13,1.13,1.11,1.13
Estonia,0.92,0.88,0.88,0.95,1.09,1.09,1.03,0.99
Ireland,1.17,1.14,1.13,1.12,1.22,1.23,1.27,1.29
Greece,0.71,0.67,0.63,0.62,0.63,0.71,0.76,0.85
Spain,0.83,0.81,0.8,0.82,0.93,0.93,0.97,1.02
France,0.98,0.96,0.95,0.93,0.93,0.92,0.9,0.93
Croatia,0.87,0.86,0.85,0.84,0.91,0.99,0.99,1.01
Italy,1,0.97,0.99,0.97,0.98,0.93,0.95,1.04
Cyprus,0.95,0.93,0.89,0.8,0.88,0.87,0.91,0.93
Latvia,0.77,0.68,0.68,0.76,0.97,0.98,0.92,0.94
Lithuania,0.89,0.85,0.8,0.83,0.97,0.97,0.97,1.01
Luxembourg,1.2,1.22,1.22,1.2,1.24,1.22,1.21,1.2
Hungary,0.97,0.99,1.01,1.01,1.07,1.07,1.08,1.08
Malta,0.96,0.95,0.99,0.98,0.97,0.99,1.03,1.05
Netherlands,1.14,1.12,1.12,1.12,1.11,1.11,1.11,1.11
Austria,1.08,1.1,1.11,1.11,1.1,1.09,1.06,1.06
Poland,0.98,0.96,0.93,0.91,1,0.97,0.98,1.01
Portugal,0.75,0.78,0.8,0.76,0.79,0.8,0.89,0.98
Romania,0.76,0.73,0.68,0.7,0.84,0.86,0.88,0.9
Slovenia,0.99,0.99,0.98,0.96,1.04,1.02,1.02,1.07
Slovakia,0.94,0.95,0.99,0.97,0.99,1,1.01,1.06
Finland,1.11,1.12,1.13,1.09,1.05,1.03,0.98,0.98
Sweden,1.19,1.19,1.17,1.14,1.16,1.14,1.13,1.14
United Kingdom,0.91,0.92,0.91,0.93,0.95,0.93,0.95,0.94
