Country,2005,2006,2007,2008,2009,2010,2011,2012
Austria,5.27148,5.25293,5.17663,5.29698,5.7674,5.7332,5.61861,5.45065
Belgium,5.77514,5.82776,5.843,6.27367,6.39845,6.39667,6.36516,6.6204542
Bulgaria,4.18855,3.98817,3.7474,4.31128,4.43296,4.01754,3.66867,3.58936
Croatia,4.065834,4.101406,3.97111,4.27013,4.38925,4.25217,4.15795,4.314838
Cyprus,6.34274,6.39555,6.34744,6.80899,7.30415,6.66191,6.64467,6.986096854
Czech Republic,3.89869,4.22392,3.875,3.75273,4.18041,4.07352,4.28418,4.26371
Denmark,8.08275,7.72783,7.61377,7.49236,8.48796,8.61798,8.5471,8.65958572
Estonia,4.84576,5.113423597,4.66549,5.5196,5.95738,5.5298,5.09808,4.79262
Finland,6.03606,5.9381,5.68609,5.84677,6.48518,6.54071,6.48201,7.19254
France,5.49981,5.44211,5.44519,5.44403,5.73849,5.68342,5.51584,5.53344
Germany,4.170329943,4.28476,4.34842,4.41596,4.88767,4.921,4.81496,4.94831
Greece,3.96574,1.0E-8,1.0E-8,1.0E-8,1.0E-8,1.0E-8,1.0E-8,1.0E-8
Hungary,5.38289,5.35814,5.19448,5.02306,5.01172,4.81825,4.64508,4.5653786
Ireland,4.54981,4.57605,4.72311,5.47034,6.20758,6.14069,5.85089,5.84453
Italy,4.24747,4.53567,4.11659,4.40076,4.53407,4.34919,4.14054,4.302455439
Latvia,3.506845628,3.2848,3.26785,3.79084,3.91929,3.55563,3.48792,3.20394
Lithuania,16.82612,16.64437,15.85024,16.69268,19.25768,18.31372,17.69513,3.497433128
Luxembourg,1.0E-8,1.0E-8,1.0E-8,1.0E-8,1.0E-8,1.0E-8,1.0E-8,1.0E-8
Malta,5.253896327,5.541151499,6.31293,5.8462,5.44377,6.91128,7.96375,6.75966
Netherlands,5.20605,5.14168,4.97065,5.11925,5.49481,5.5558,5.52617,5.51428
Poland,5.45666,5.22829,4.87176,5.07496,5.02705,5.09644,4.86121,4.817372857
Portugal,5.07076,4.90802,4.92191,4.70213,5.56214,5.40289,5.12129,5.342030582
Romania,3.47503,3.923049018,4.24614,3.701673194,4.23975,3.52577,3.07337,2.9855
Slovak Republic,3.76648,3.72126,3.54054,3.54412,4.02503,4.13874,3.98871,3.93731
Slovenia,5.58241,5.57559,5.10509,5.10609,5.56859,5.56756,5.56985,5.65882
Spain,4.13003,4.16759,4.23332,4.50101,4.86779,4.81922,4.84507,4.36743
Sweden,6.55951,6.41067,6.21507,6.39073,6.85779,6.62199,6.49112,7.65619
United Kingdom,5.19466,5.2469,5.1641,5.12086,5.3124,5.95497,5.75164,5.854415686
