Country,2005,2006,2007,2008,2009,2010,2011,2012
Austria,10.53141508,10.35154773,10.40127692,10.60392998,11.19443731,11.16524816,10.93557307,11.16821981
Belgium,9.24428757,9.17112797,9.25207442,9.59842645,10.39434014,10.16564067,10.42349563,10.53975001
Bulgaria,7.07978092,6.6734753,6.41034419,6.61156197,6.77819389,7.24456053,6.88297734,7.10569778
Croatia,6.89409977,6.95312104,7.44334788,7.7045206,8.17701771,8.24785313,7.79909419,7.79722563
Cyprus,6.3690867,6.27810151,6.05253416,6.89217292,7.40220132,7.2339653,7.53731961,7.43887767
Czech Republic,6.93394326,6.69370303,6.522339,6.81889577,7.84539515,7.4318989,7.50106056,7.54794135
Denmark,9.7699606,9.92431629,9.98729401,10.18303034,11.47219769,11.08183797,10.86554541,10.9838191
Estonia,5.01934025,5.01483256,5.15908483,6.05608547,6.93238582,6.24878186,5.8320426,6.36428657
Finland,8.42946509,8.38132513,8.09335361,8.35417138,9.20360107,9.0454216,9.01149493,9.29823712
France,10.59988615,10.52922033,10.44898821,10.5698701,11.28059369,11.19721933,11.33488998,11.43898967
Germany,10.51754561,10.34100073,10.1804053,10.39246762,11.40325491,11.25156004,10.93273699,10.99191973
Greece,9.36146591,9.33528442,9.4084693,9.75879775,9.76326668,9.18486746,9.77188991,9.24254484
Hungary,8.27979357,8.09995208,7.50953251,7.32650666,7.54933377,7.85048555,7.84003067,7.74065817
Ireland,7.26683559,7.22353538,7.57001772,8.64102477,9.53009384,8.76096475,8.14533747,8.32055052
Italy,8.70707069,8.81849072,8.48168567,8.88584923,9.41489657,9.41991203,9.27499911,9.28206804
Latvia,6.37415759,6.7991405,7.01215151,6.63050503,6.83979658,6.55480303,6.09974017,5.90778351
Lithuania,5.83432657,6.19588569,6.22384874,6.60837899,7.53257874,7.09033823,6.85596808,6.66789481
Luxembourg,7.94570112,7.74947883,6.79800543,7.33859064,8.1146262,7.68088676,7.3409169,7.17505184
Malta,8.83355332,8.93281432,8.35676141,8.15397796,8.33140474,8.29921427,9.59870689,9.95129454
Netherlands,9.59771913,9.35703746,9.35717394,9.57126055,10.29027545,10.47572212,10.52716599,11.01234745
Poland,6.20353532,6.1706712,6.27954647,6.87653481,7.12088233,6.88449165,6.7023798,6.61772998
Portugal,9.97647249,9.67265428,9.61953682,9.89868879,10.41844886,10.43672755,10.06864127,9.74360978
Romania,5.46905767,5.05987966,5.21089978,5.33489757,5.55959499,5.83283431,5.52618204,5.47833245
Slovak Republic,7.04485118,7.34768079,7.75529417,8.0208281,9.15199445,8.50861648,7.95706221,8.14522055
Slovenia,8.49586245,8.41787985,7.98322378,8.46557039,9.37871271,9.06859821,9.0771408,9.36723766
Spain,8.11898424,8.23258934,8.35762244,8.80496468,9.52140118,9.55574089,9.47835693,9.38884953
Sweden,9.06150305,8.94799761,8.91722313,9.22835422,9.93895273,9.46876598,11.70251308,11.80240408
United Kingdom,8.23536912,8.36326097,8.41613855,8.85089693,9.80995593,9.50702943,9.33870027,9.41083326
