Country,2005,2006,2007,2008,2009,2010,2011,2012
Austria,25.0371,24.7698,25.6014,26.4,27.7101,28.3041,29.1951,29.7
Belgium,32.566,33.364,33.896,32.9,35.72,36.29,37.012,38
Bulgaria,1.479,1.6966,2.006,2.6,2.5568,2.9818,3.162,3.4
Croatia,9.038,9.1036,9.1692,9.2,9.574876847,9.069458128,9.631034483,9.5
Cyprus,17.892,18.8832,19.1856,16.7,18.0264,18.3288,18.4128,16.8
Czech Republic,0.717282717,0.744255744,0.81018981,9.2,0.913086913,0.967032967,0.989010989,1
Denmark,36.0395,36.8674,37.6953,34.6,42.70167598,43.36201117,41.38100559,39.4
Estonia,4.6956,5.4782,6.6736,7.8,7.4046,7.7916,8.2474,8.6
Finland,25.0087,25.9164,26.2294,27.1,27.7318,27.3562,29.5159,31.3
France,27.7144,28.469,29.5323,31.2,31.1787,32.0362,33.3739,34.3
Germany,27.0845,27.6214,28.1583,27.9,30.08963197,30.02928374,30.25860704,30.5
Greece,21.2075,20.629,20.0505,16.7,21.5875,20.04553571,17.80267857,15.7
Hungary,4.580210526,5.055368421,5.655157895,7.8,6.457473684,6.309473684,6.963789474,7.4
Ireland,25.7472,26.1942,25.33,28.9,27.863,28.4292,30.2768,29.8
Italy,18.9468,20.3872,21.606,25.2,24.4868,26.0657,26.9521,27.7
Latvia,2.8084,3.5223,4.7495,6,5.8233,5.841,5.8351,5.9
Lithuania,3.6226,4.2716,5.1389,5.9,5.546,5.3867,5.3277,5.9
Luxembourg,26.86989033,28.2556331,29.23579262,31,31.29750748,32.3114656,33.0550349,33.9
Malta,9.461261261,10.44164164,9.614814815,11.4,9.697497497,10.55975976,10.91411411,11.8
Netherlands,26.1625,27.235,28.73,29.8,30.1925,31.72,32.9875,32.5
Poland,5.293,5.5379,5.9961,7.6,6.9204,7.1021,7.5761,7.9
Portugal,12.0764,12.2759,13.4596,12.2,13.5793,13.699,13.566,13.3
Romania,1.5662,1.9967,2.4518,4.2,3.3743,3.6326,3.7843,4.1
Slovakia,6.0787,6.3813,7.3781,7.3,8.1791,8.1346,8.9534,8.9
Slovenia,9.474751491,10.26560636,10.45168986,13.9,12.94831014,13.21192843,14.49900596,15.6
Spain,13.9893,14.4113,14.77,19.4,16.3103,17.7873,18.6102,21.1
Sweden,27.5647,28.6837,30.1384,31.6,32.7867,34.6144,36.2556,37.3
United Kingdom,16.3184,16.492,18.4233,2.9,19.6385,19.1177,18.879,21.7
