Country,2005,2006,2007,2008,2009,2010,2011,2012
Austria,57.2,51.1,51.1,51.1,51.6,51.3,50.8,52.3
Belgium,60.1,59.9,57.9,55.9,55.2,57.3,57.7,58.2
Bulgaria,45.2,41.6,35.8,33.9,30.4,28,27.2,27.8
Croatia,20.8,20.8,20.8,20.8,20.8,21.5,21.3,21.2
Cyprus,19.24,19.7,20.16,20.6,20.6,22.3,22,22.2
Czech Republic,55.1,54.1,53.1,53.1,51.1,50,50,50
Denmark,33.3,31.5,32,29.2,28.2,28.1,26.4,27
Estonia,50.6,49.4,48.7,48.1,48.4,48.8,57.8,66.8
Finland,49.5,47.7,47.8,47.8,47.7,40.8,39.1,40.6
France,66,66.6,66.6,66.1,65.8,65.8,65.7,67.4
Germany,47.7,47.4,49,49.4,43.9,47,45.6,45.9
Greece,54,49.5,48.9,46.7,46.7,46.7,45.9,44.1
Hungary,56.6,55.7,55.3,56.6,56.6,54.6,52,49.8
Ireland,25.3,25.3,25.3,25.4,25.5,25.3,25.4,25.5
Italy,76.7,75.3,75.3,72.5,67.6,67.6,67.6,67.6
Latvia,36.2,36.2,36.2,36.6,37.5,37.5,37,35.8
Lithuania,51.2,47.6,46.2,45.6,43.6,45.1,43.1,43
Luxembourg,20.3445,20.4,20,20,20,20,19.8,20
Malta,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3
Netherlands,47.7,44.6,41.8,38.2,38.5,39.4,39.6,39.2
Poland,43.2,43.2,43.4,45.1,42.2,40.6,40.1,40.3
Portugal,43.8,43.8,42.9,42.5,42.3,42.6,42.8,42
Romania,55.8,48.2,45.6,45.4,45.5,44,43.5,43.3
Slovak Republic,50,48.6,48.6,48.5,49.4,50,50.2,49.7
Slovenia,39.2,39.2,38.4,34.9,35.8,33.6,32.9,32.9
Spain,60.4,60.5,60.7,58.8,55.8,55.5,37.9,37.9
Sweden,54.1,54.1,53.8,53.8,53.9,52.1,52.1,52.1
United Kingdom,34.7,34.6,34.6,34.2,34.9,36.1,36.2,35
