Country,2005,2006,2007,2008,2009,2010,2011,2012
Austria,2.38,2.37,2.43,2.59,2.61,2.74,2.68,2.89
Belgium,1.78,1.81,1.84,1.92,1.99,2.05,2.16,2.36
Bulgaria,0.44,0.44,0.43,0.45,0.5,0.57,0.54,0.61
Croatia,0.86,0.74,0.79,0.88,0.84,0.74,0.75,0.75
Cyprus,0.37,0.39,0.4,0.39,0.45,0.45,0.45,0.43
Czech Republic,1.17,1.23,1.31,1.24,1.3,1.34,1.56,1.79
Denmark,2.39,2.4,2.51,2.78,3.07,2.94,2.97,3
Estonia,0.92,1.12,1.07,1.26,1.4,1.58,2.31,2.11
Finland,3.33,3.34,3.35,3.55,3.75,3.73,3.64,3.42
France,2.04,2.05,2.02,2.06,2.21,2.18,2.19,2.23
Germany,2.42,2.46,2.45,2.6,2.72,2.71,2.79,2.87
Greece,0.58,0.56,0.58,0.66,0.63,0.6,0.67,0.7
Hungary,0.93,0.99,0.96,0.99,1.14,1.15,1.2,1.27
Ireland,1.19,1.2,1.23,1.39,1.61,1.61,1.53,1.56
Italy,1.05,1.09,1.13,1.16,1.22,1.22,1.21,1.27
Latvia,0.53,0.65,0.55,0.58,0.45,0.61,0.7,0.67
Lithuania,0.75,0.79,0.8,0.79,0.83,0.78,0.9,0.9
Luxembourg,1.59,1.69,1.61,1.64,1.71,1.53,1.5,1.29
Malta,0.53,0.58,0.55,0.53,0.52,0.64,0.69,0.86
Netherlands,1.79,1.76,1.69,1.64,1.69,1.72,1.9,1.94
Poland,0.57,0.55,0.56,0.6,0.67,0.72,0.75,0.88
Portugal,0.76,0.95,1.12,1.45,1.58,1.53,1.46,1.38
Romania,0.41,0.45,0.52,0.57,0.46,0.45,0.49,0.48
Slovakia,0.5,0.48,0.45,0.46,0.47,0.62,0.67,0.81
Slovenia,1.41,1.53,1.42,1.63,1.82,2.06,2.42,2.58
Spain,1.1,1.17,1.23,1.32,1.35,1.35,1.33,1.28
Sweden,3.39,3.5,3.26,3.5,3.45,3.22,3.25,3.28
United Kingdom,1.63,1.65,1.68,1.69,1.74,1.69,1.69,1.62
